number,roc_auc,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_units,params_learning_rate,params_optimizer,user_attrs_accuracy,user_attrs_best_epoch,user_attrs_f1,user_attrs_log_loss,user_attrs_precision,user_attrs_recall,user_attrs_roc_auc,state,accuracy,f1,precision,recall,log_loss,best_epoch
34,0.5393772893772893,2026-04-07 08:17:09.400214,2026-04-07 08:17:12.758979,0 days 00:00:03.358765,64,0.4,32,0.0003775459463072674,sgd,0.5644171779141104,2,0.23655913978494625,0.7008833311631033,0.5238095238095238,0.1527777777777778,0.5393772893772893,COMPLETE,0.5644171779141104,0.23655913978494625,0.5238095238095238,0.1527777777777778,0.7008833311631033,2
35,0.4964896214896215,2026-04-07 08:17:12.759041,2026-04-07 08:17:15.646179,0 days 00:00:02.887138,64,0.4,32,0.0020769676743771282,sgd,0.4662576687116564,1,0.5953488372093023,0.7234660427097261,0.44755244755244755,0.8888888888888888,0.4964896214896215,COMPLETE,0.4662576687116564,0.5953488372093023,0.44755244755244755,0.8888888888888888,0.7234660427097261,1
36,0.45085470085470086,2026-04-07 08:17:15.646233,2026-04-07 08:17:18.494222,0 days 00:00:02.847989,64,0.4,32,0.0002894339469523958,sgd,0.43558282208588955,1,0.6,0.8041722389346696,0.43670886075949367,0.9583333333333334,0.45085470085470086,COMPLETE,0.43558282208588955,0.6,0.43670886075949367,0.9583333333333334,0.8041722389346696,1
37,0.518925518925519,2026-04-07 08:17:18.494278,2026-04-07 08:17:22.262426,0 days 00:00:03.768148,16,0.4,32,0.0005075181719531579,adam,0.49693251533742333,1,0.4057971014492754,0.6888585683791668,0.42424242424242425,0.3888888888888889,0.518925518925519,COMPLETE,0.49693251533742333,0.4057971014492754,0.42424242424242425,0.3888888888888889,0.6888585683791668,1
38,0.48244810744810745,2026-04-07 08:17:22.262482,2026-04-07 08:17:25.484309,0 days 00:00:03.221827,64,0.5,32,0.0001015102075635245,sgd,0.50920245398773,2,0.5238095238095238,0.7072921818306711,0.4583333333333333,0.6111111111111112,0.48244810744810745,COMPLETE,0.50920245398773,0.5238095238095238,0.4583333333333333,0.6111111111111112,0.7072921818306711,2
39,0.4826007326007326,2026-04-07 08:17:25.484369,2026-04-07 08:17:28.428880,0 days 00:00:02.944511,64,0.4,32,0.001176746393728595,sgd,0.49693251533742333,1,0.3492063492063492,0.6993221127417317,0.4074074074074074,0.3055555555555556,0.4826007326007326,COMPLETE,0.49693251533742333,0.3492063492063492,0.4074074074074074,0.3055555555555556,0.6993221127417317,1
40,0.5355616605616605,2026-04-07 08:17:28.428959,2026-04-07 08:17:32.363339,0 days 00:00:03.934380,16,0.4,128,0.00042890338242372974,sgd,0.5214723926380368,3,0.5,0.692244730432727,0.4642857142857143,0.5416666666666666,0.5355616605616605,COMPLETE,0.5214723926380368,0.5,0.4642857142857143,0.5416666666666666,0.692244730432727,3
41,0.48229548229548225,2026-04-07 08:17:32.363390,2026-04-07 08:17:38.960884,0 days 00:00:06.597494,64,0.4,32,0.000350902294014182,sgd,0.4662576687116564,35,0.6233766233766234,0.8002185698287488,0.4528301886792453,1.0,0.48229548229548225,COMPLETE,0.4662576687116564,0.6233766233766234,0.4528301886792453,1.0,0.8002185698287488,35
42,0.5575396825396826,2026-04-07 08:17:38.960972,2026-04-07 08:17:41.954228,0 days 00:00:02.993256,64,0.4,32,0.0007321994066197543,sgd,0.5521472392638037,1,0.02666666666666667,0.6824928697784256,0.3333333333333333,0.013888888888888888,0.5575396825396826,COMPLETE,0.5521472392638037,0.02666666666666667,0.3333333333333333,0.013888888888888888,0.6824928697784256,1
43,0.501984126984127,2026-04-07 08:17:41.954284,2026-04-07 08:17:45.236413,0 days 00:00:03.282129,64,0.3,32,0.0007027424296738039,sgd,0.5030674846625767,3,0.3305785123966942,0.6972128549189843,0.40816326530612246,0.2777777777777778,0.501984126984127,COMPLETE,0.5030674846625767,0.3305785123966942,0.40816326530612246,0.2777777777777778,0.6972128549189843,3
44,0.43513431013431014,2026-04-07 08:17:45.236473,2026-04-07 08:17:49.607065,0 days 00:00:04.370592,64,0.5,32,0.0005726915623207588,sgd,0.44171779141104295,14,0.4484848484848485,0.732733980473819,0.3978494623655914,0.5138888888888888,0.43513431013431014,COMPLETE,0.44171779141104295,0.4484848484848485,0.3978494623655914,0.5138888888888888,0.732733980473819,14
45,0.5085470085470085,2026-04-07 08:17:49.607118,2026-04-07 08:17:52.613264,0 days 00:00:03.006146,64,0.4,32,0.0010385465256836852,sgd,0.49693251533742333,1,0.5494505494505495,0.6994189761763535,0.45454545454545453,0.6944444444444444,0.5085470085470085,COMPLETE,0.49693251533742333,0.5494505494505495,0.45454545454545453,0.6944444444444444,0.6994189761763535,1
46,0.46718559218559225,2026-04-07 08:17:52.613315,2026-04-07 08:17:56.284129,0 days 00:00:03.670814,64,0.4,128,0.00026329244148210477,adam,0.4662576687116564,3,0.5245901639344263,0.7409902723495828,0.43243243243243246,0.6666666666666666,0.46718559218559225,COMPLETE,0.4662576687116564,0.5245901639344263,0.43243243243243246,0.6666666666666666,0.7409902723495828,3
47,0.47527472527472525,2026-04-07 08:17:56.284190,2026-04-07 08:18:01.472124,0 days 00:00:05.187934,16,0.3,32,0.0007138758950676487,sgd,0.44785276073619634,11,0.5263157894736842,0.7554854171501211,0.423728813559322,0.6944444444444444,0.47527472527472525,COMPLETE,0.44785276073619634,0.5263157894736842,0.423728813559322,0.6944444444444444,0.7554854171501211,11
48,0.46413308913308915,2026-04-07 08:18:01.472183,2026-04-07 08:18:04.976834,0 days 00:00:03.504651,64,0.4,32,0.00048388453207012496,sgd,0.44171779141104295,6,0.5991189427312775,0.7327140805001823,0.43870967741935485,0.9444444444444444,0.46413308913308915,COMPLETE,0.44171779141104295,0.5991189427312775,0.43870967741935485,0.9444444444444444,0.7327140805001823,6
49,0.4984737484737485,2026-04-07 08:18:04.976884,2026-04-07 08:18:09.042528,0 days 00:00:04.065644,64,0.0,32,0.001995449084792393,sgd,0.48466257668711654,8,0.45454545454545453,0.6953052983448813,0.4268292682926829,0.4861111111111111,0.4984737484737485,COMPLETE,0.48466257668711654,0.45454545454545453,0.4268292682926829,0.4861111111111111,0.6953052983448813,8
